titulo,tipo,lugar,distrito,fecha_inicio,fecha_fin,url
Ludoteca en Centro Cultural Sara Montiel,Sin tipo,Centro Cultural Sara Montiel (Latina),LATINA,viernes 4 de octubre de 2024,sábado 28 de junio de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Ludoteca-en-Centro-Cultural-Sara-Montiel/?vgnextfmt=default&vgnextoid=4f9000e8cdd9e810VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Ludoteca en Centro Cultural  Miguel Hernández,Sin tipo,Centro Cultural Miguel Hernández (Latina),LATINA,viernes 4 de octubre de 2024,sábado 28 de junio de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Ludoteca-en-Centro-Cultural-Miguel-Hernandez/?vgnextfmt=default&vgnextoid=424529ae67e9e810VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Ludoteca en Centro Sociocultural Rosario Acuña,Sin tipo,Centro Sociocultural Rosario de Acuña (Latina),LATINA,sábado 5 de octubre de 2024,sábado 28 de junio de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Ludoteca-en-Centro-Sociocultural-Rosario-Acuna/?vgnextfmt=default&vgnextoid=109ddfaf0ae9e810VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Ludotecas en Centro Sociocultural Latina,Sin tipo,Sin lugar,Sin distrito,sábado 5 de octubre de 2024,sábado 28 de junio de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Ludotecas-en-Centro-Sociocultural-Latina/?vgnextfmt=default&vgnextoid=59c61197cb41f810VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Taller de cómic (juvenil) Biblioteca Iván de Vargas,CURSOS Y TALLERES,Biblioteca Pública Municipal Iván de Vargas (Centro),CENTRO,sábado 5 de octubre de 2024,sábado 7 de junio de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Taller-de-comic-juvenil-Biblioteca-Ivan-de-Vargas/?vgnextfmt=default&vgnextoid=fb9a63238a0b3910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Taller de juegos (infantil) Biblioteca Gabriel Gª Márquez,CURSOS Y TALLERES,Biblioteca Pública Municipal Gabriel García Márquez (Usera),USERA,jueves 17 de octubre de 2024,jueves 29 de mayo de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Taller-de-juegos-infantil-Biblioteca-Gabriel-G-Marquez/?vgnextfmt=default&vgnextoid=3a1f32fa46a61910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Club de lectura (infantil) Biblioteca María Lejárraga,"CLUBES DE LECTURA, 
            
            CURSOS Y TALLERES",Biblioteca Pública Municipal María Lejárraga (Hortaleza),HORTALEZA,jueves 24 de octubre de 2024,jueves 19 de junio de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Club-de-lectura-infantil-Biblioteca-Maria-Lejarraga/?vgnextfmt=default&vgnextoid=03cbf9ea99e61910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Coder Dojo · Grupo de trabajo 2024-2025,CURSOS Y TALLERES,Matadero Medialab,ARGANZUELA,sábado 16 de noviembre de 2024,sábado 26 de julio de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Coder-Dojo-Grupo-de-trabajo-2024-2025/?vgnextfmt=default&vgnextoid=8c98b60f928d2910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Taller de cómic (Infantil) Biblioteca José Hierro,CURSOS Y TALLERES,Biblioteca Pública Municipal José Hierro (San Blas-Canillejas),SAN BLAS-CANILLEJAS,lunes 25 de noviembre de 2024,lunes 19 de mayo de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Taller-de-comic-Infantil-Biblioteca-Jose-Hierro/?vgnextfmt=default&vgnextoid=fcd9ecedfd123910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Clases de árabe para niños,"CURSOS Y TALLERES, 
            
            IDIOMAS",Biblioteca Pública Municipal San Fermín (Usera),USERA,viernes 13 de diciembre de 2024,viernes 30 de mayo de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Clases-de-arabe-para-ninos/?vgnextfmt=default&vgnextoid=60ceedb3e8133910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Taller de cómic (Infantil) Biblioteca María Zambrano,CURSOS Y TALLERES,Biblioteca Pública Municipal María Zambrano (Tetuán),TETUAN,miércoles 8 de enero de 2025,miércoles 4 de junio de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Taller-de-comic-Infantil-Biblioteca-Maria-Zambrano/?vgnextfmt=default&vgnextoid=5c9ec45e58724910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Taller de cómic (Infantil) Biblioteca Miguel Delibes,CURSOS Y TALLERES,Biblioteca Pública Municipal Miguel Delibes (Moratalaz),MORATALAZ,miércoles 15 de enero de 2025,miércoles 21 de mayo de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Taller-de-comic-Infantil-Biblioteca-Miguel-Delibes/?vgnextfmt=default&vgnextoid=ad3087ffb3f64910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Taller de cómic (juvenil) Biblioteca Gerardo Diego,CURSOS Y TALLERES,Biblioteca Pública Municipal Gerardo Diego (Villa de Vallecas),VILLA DE VALLECAS,viernes 7 de febrero de 2025,viernes 30 de mayo de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Taller-de-comic-juvenil-Biblioteca-Gerardo-Diego/?vgnextfmt=default&vgnextoid=1c7b5d06cd165910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Chatines: club de lectura infantil,CLUBES DE LECTURA,Biblioteca Pública Municipal Dámaso Alonso (Chamartín),CHAMARTIN,jueves 27 de febrero de 2025,jueves 19 de junio de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Chatines-club-de-lectura-infantil/?vgnextfmt=default&vgnextoid=146e23279fad4910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Taller de ajedrez avanzado (infantil-juvenil) Biblioteca María Lejárraga,CURSOS Y TALLERES,Biblioteca Pública Municipal María Lejárraga (Hortaleza),HORTALEZA,miércoles 19 de marzo de 2025,miércoles 4 de junio de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Taller-de-ajedrez-avanzado-infantil-juvenil-Biblioteca-Maria-Lejarraga/?vgnextfmt=default&vgnextoid=991163008c7c5910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Manualidades,CURSOS Y TALLERES,Biblioteca Pública Municipal Gabriel García Márquez (Usera),USERA,martes 25 de marzo de 2025,martes 24 de junio de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Manualidades/?vgnextfmt=default&vgnextoid=3da790ec79b45910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Talleres de Price (De 7 a 9 años),CURSOS Y TALLERES,Teatro Circo Price,ARGANZUELA,sábado 29 de marzo de 2025,sábado 14 de junio de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Talleres-de-Price-De-7-a-9-anos-/?vgnextfmt=default&vgnextoid=f981045e3fd15910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Talleres del Price (5 y 6 años),CURSOS Y TALLERES,Teatro Circo Price,ARGANZUELA,sábado 29 de marzo de 2025,sábado 14 de junio de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Talleres-del-Price-5-y-6-anos-/?vgnextfmt=default&vgnextoid=12a1045e3fd15910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
HOP!,CIRCO MAGIA,Teatro Circo Price,ARGANZUELA,domingo 20 de abril de 2025,domingo 15 de junio de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/HOP-/?vgnextfmt=default&vgnextoid=95698cdcd77d5910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Campamentos urbanos de verano 2025. Distrito Arganzuela,CAMPAMENTOS,Colegio Público Plácido Domingo,ARGANZUELA,lunes 21 de abril de 2025,viernes 5 de septiembre de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Campamentos-urbanos-de-verano-2025-Distrito-Arganzuela/?vgnextfmt=default&vgnextoid=0f5297c7fe556910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Ronda de libros,Sin tipo,Matadero Madrid,ARGANZUELA,sábado 26 de abril de 2025,sábado 7 de junio de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Ronda-de-libros/?vgnextfmt=default&vgnextoid=d2398cdcd77d5910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Talleres para niños de 4 a 14 años,Sin tipo,Sin lugar,Sin distrito,sábado 26 de abril de 2025,sábado 28 de junio de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Talleres-para-ninos-de-4-a-14-anos/?vgnextfmt=default&vgnextoid=fe309f9cfb7b5910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Campamento urbano de Semana Santa. Distrito Retiro,CAMPAMENTOS,Colegio Público Ciudad de Roma,RETIRO,martes 29 de abril de 2025,viernes 5 de septiembre de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Campamento-urbano-de-Semana-Santa-Distrito-Retiro/?vgnextfmt=default&vgnextoid=63144a9ad0e15910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Campamento urbano Chamartín Verano 2025,CAMPAMENTOS,Sin lugar,Sin distrito,miércoles 30 de abril de 2025,domingo 7 de septiembre de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Campamento-urbano-Chamartin-Verano-2025/?vgnextfmt=default&vgnextoid=2f3ac7a730786910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Bulevarte 2025,"CUENTACUENTOS, TÍTERES Y MARIONETAS, 
            
            ACTIVIDADES CALLE, ARTE URBANO, 
            
            CURSOS Y TALLERES, 
            
            MÚSICA",Jardín del Bulevar de Peña Gorbea,PUENTE DE VALLECAS,jueves 1 de mayo de 2025,jueves 31 de julio de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Bulevarte-2025/?vgnextfmt=default&vgnextoid=ee0797abaa766910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Deportes populares y tradicionales para familias,ACTIVIDADES DEPORTIVAS,Sin lugar,Sin distrito,jueves 1 de mayo de 2025,lunes 30 de junio de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Deportes-populares-y-tradicionales-para-familias/?vgnextfmt=default&vgnextoid=c60bd1fe5a086910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Actividades por el día 2 de mayo,"FIESTAS, 
            
            CURSOS Y TALLERES",Auditorio Municipal al aire libre Lola Camarena,VILLA DE VALLECAS,viernes 2 de mayo de 2025,viernes 2 de mayo de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Actividades-por-el-dia-2-de-mayo/?vgnextfmt=default&vgnextoid=1b55ced21c666910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Gran concurso de la maternidad en el mundo animal,CURSOS Y TALLERES,Centro de Educación Ambiental y Cultural Maris Stella (Usera),USERA,viernes 2 de mayo de 2025,viernes 2 de mayo de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Gran-concurso-de-la-maternidad-en-el-mundo-animal/?vgnextfmt=default&vgnextoid=9eb630cd70266910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Érase una vez un pato - Teatro La Proa (Cuba),"CUENTACUENTOS, TÍTERES Y MARIONETAS, 
            
            MADRID DESTINO",Teatro Municipal de Títeres,RETIRO,sábado 3 de mayo de 2025,domingo 4 de mayo de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Erase-una-vez-un-pato-Teatro-La-Proa-Cuba-/?vgnextfmt=default&vgnextoid=3d89bf4aebf85910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Womagis,TEATRO PERFOMANCE,Centro Cultural Casa de Vacas (Retiro),RETIRO,sábado 3 de mayo de 2025,sábado 3 de mayo de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Womagis/?vgnextfmt=default&vgnextoid=e6ee826e66266910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
REUTILIZ-ARTE: Mayo el mes de las flores,"CUENTACUENTOS, TÍTERES Y MARIONETAS, 
            
            ACTIVIDADES CALLE, ARTE URBANO, 
            
            DANZA Y BAILE, 
            
            ITINERARIOS Y OTRAS ACTIVIDADES AMBIENTALES, 
            
            ACTIVIDADES DEPORTIVAS, 
            
            CINE ACTIVIDADES AUDIOVISUALES, 
            
            CURSOS Y TALLERES, 
            
            MÚSICA, 
            
            TEATRO PERFOMANCE, 
            
            EXCURSIONES ITINERARIOS VISITAS, 
            
            EXPOSICIONES, 
            
            CONFERENCIAS Y COLOQUIOS, 
            
            CONGRESOS Y JORNADAS",Centro de Educación Ambiental y Cultural Maris Stella (Usera),USERA,sábado 3 de mayo de 2025,sábado 3 de mayo de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/REUTILIZ-ARTE-Mayo-el-mes-de-las-flores/?vgnextfmt=default&vgnextoid=5978cbdaa1266910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
La magia existe,"ACTIVIDADES CALLE, ARTE URBANO, 
            
            CIRCO MAGIA",Parque de Amós Acero,PUENTE DE VALLECAS,sábado 3 de mayo de 2025,sábado 3 de mayo de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/La-magia-existe/?vgnextfmt=default&vgnextoid=fd491dc120866910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Ludoteca,CURSOS Y TALLERES,Centro Sociocultural Alfonso XII (Fuencarral - El Pardo),FUENCARRAL-EL PARDO,sábado 3 de mayo de 2025,sábado 31 de mayo de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Ludoteca/?vgnextfmt=default&vgnextoid=7b9d3a03802e2910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Títeres: El barquillero de la pradera de San Isidro,"CUENTACUENTOS, TÍTERES Y MARIONETAS",Centro Cultural Alfredo Kraus (Fuencarral - El Pardo),FUENCARRAL-EL PARDO,sábado 3 de mayo de 2025,sábado 3 de mayo de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Titeres-El-barquillero-de-la-pradera-de-San-Isidro/?vgnextfmt=default&vgnextoid=475c9822df145910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Ludotecas,CURSOS Y TALLERES,Centro Sociocultural Valverde (Fuencarral - El Pardo),FUENCARRAL-EL PARDO,sábado 3 de mayo de 2025,sábado 31 de mayo de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Ludotecas/?vgnextfmt=default&vgnextoid=0a2523aaeab76910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Sendas Guiadas,"ITINERARIOS Y OTRAS ACTIVIDADES AMBIENTALES, 
            
            EXCURSIONES ITINERARIOS VISITAS",Centro de Interpretación de la Naturaleza Montecarmelo (Fuencarral - El Pardo),FUENCARRAL-EL PARDO,sábado 3 de mayo de 2025,sábado 31 de mayo de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Sendas-Guiadas/?vgnextfmt=default&vgnextoid=fcf15bebd58d2910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Talleres Familiares,"ITINERARIOS Y OTRAS ACTIVIDADES AMBIENTALES, 
            
            CURSOS Y TALLERES",Centro de Interpretación de la Naturaleza Montecarmelo (Fuencarral - El Pardo),FUENCARRAL-EL PARDO,sábado 3 de mayo de 2025,sábado 31 de mayo de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Talleres-Familiares/?vgnextfmt=default&vgnextoid=5df152544dd2f810VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Crispina y Molinilla,"CUENTACUENTOS, TÍTERES Y MARIONETAS",Centro Cultural El Pozo del tío Raimundo (Puente de Vallecas),PUENTE DE VALLECAS,domingo 4 de mayo de 2025,domingo 4 de mayo de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Crispina-y-Molinilla/?vgnextfmt=default&vgnextoid=8fbb1dc120866910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
"Era casi, casi, una vez","CUENTACUENTOS, TÍTERES Y MARIONETAS, 
            
            TEATRO PERFOMANCE",Centro Cultural Antonio Machado (San Blas - Canillejas),SAN BLAS-CANILLEJAS,domingo 4 de mayo de 2025,domingo 4 de mayo de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Era-casi-casi-una-vez/?vgnextfmt=default&vgnextoid=9eff399bedb66910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
¿Un Grúfa qué?,"CUENTACUENTOS, TÍTERES Y MARIONETAS",Sin lugar,Sin distrito,domingo 4 de mayo de 2025,domingo 4 de mayo de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Un-Grufa-que-/?vgnextfmt=default&vgnextoid=681ed31eff666910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Cabaret ovejuno,"CUENTACUENTOS, TÍTERES Y MARIONETAS",Centro Cultural Carril del Conde (Hortaleza),HORTALEZA,domingo 4 de mayo de 2025,domingo 4 de mayo de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Cabaret-ovejuno/?vgnextfmt=default&vgnextoid=e4ee234abc586910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
El pirata Serafín,"CUENTACUENTOS, TÍTERES Y MARIONETAS",Centro Cultural Hortaleza,HORTALEZA,domingo 4 de mayo de 2025,domingo 4 de mayo de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/El-pirata-Serafin/?vgnextfmt=default&vgnextoid=cf1019e695416910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
"Exposición ""Fervor""","TEATRO PERFOMANCE, 
            
            EXPOSICIONES",Centro Cultural Galileo (Chamberí),CHAMBERI,lunes 5 de mayo de 2025,jueves 15 de mayo de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Exposicion-Fervor-/?vgnextfmt=default&vgnextoid=5539d5ca38086910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
'A jugar con los libros',"CUENTACUENTOS, TÍTERES Y MARIONETAS",Biblioteca Pública Municipal La Elipa (Ciudad Lineal),CIUDAD LINEAL,martes 6 de mayo de 2025,martes 6 de mayo de 2025,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/-A-jugar-con-los-libros-/?vgnextfmt=default&vgnextoid=7e93528353436910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
