titulo,url,tipo,fechas,lugar
'Cuentos en la granja',/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/-Cuentos-en-la-granja-/?vgnextfmt=default&vgnextoid=a6c3528353436910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,"CUENTACUENTOS, TÍTERES Y MARIONETAS",Miércoles 7 de mayo de 2025,Biblioteca Pública Municipal Eugenio Trías. Casa de Fieras de El Retiro (Retiro). RETIRO
"Miau, miau",/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Miau-miau/?vgnextfmt=default&vgnextoid=40b052aee7336910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,"CUENTACUENTOS, TÍTERES Y MARIONETAS",Miércoles 7 de mayo de 2025,Biblioteca Pública Municipal Gloria Fuertes (Barajas). BARAJAS
Viaje al centro del laberinto,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Viaje-al-centro-del-laberinto/?vgnextfmt=default&vgnextoid=d3fc468e9b336910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,"CUENTACUENTOS, TÍTERES Y MARIONETAS",Miércoles 7 de mayo de 2025,Biblioteca Pública Municipal San Blas (San Blas-Canillejas). SAN BLAS-CANILLEJAS
Maratón de cuentos y festival de las culturas europeas,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Maraton-de-cuentos-y-festival-de-las-culturas-europeas/?vgnextfmt=default&vgnextoid=96d1d04603d66910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,"CINE ACTIVIDADES AUDIOVISUALES, 
            
            CONFERENCIAS Y COLOQUIOS",Miércoles 7 de mayo de 2025,Biblioteca Pública Municipal Iván de Vargas (Centro). CENTRO
Jugamos por Europa,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Jugamos-por-Europa/?vgnextfmt=default&vgnextoid=adad0e8c6b266910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,CURSOS Y TALLERES,Jueves 8 de mayo de 2025,Biblioteca Pública Municipal José Hierro (San Blas-Canillejas). SAN BLAS-CANILLEJAS
¿Jugamos con Europa...?,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Jugamos-con-Europa-/?vgnextfmt=default&vgnextoid=3248d04603d66910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,CURSOS Y TALLERES,Jueves 8 de mayo de 2025,Biblioteca Pública Municipal La Chata (Carabanchel). CARABANCHEL
En el bosque,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/En-el-bosque/?vgnextfmt=default&vgnextoid=acfe468e9b336910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,"CUENTACUENTOS, TÍTERES Y MARIONETAS",Jueves 8 de mayo de 2025,Biblioteca Pública Municipal Pozo del Tío Raimundo (Puente de Vallecas). PUENTE DE VALLECAS
'Si las nubes fueran de algodón',/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/-Si-las-nubes-fueran-de-algodon-/?vgnextfmt=default&vgnextoid=31f3528353436910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,"CUENTACUENTOS, TÍTERES Y MARIONETAS",Jueves 8 de mayo de 2025,Biblioteca Pública Municipal Gerardo Diego (Villa de Vallecas). VILLA DE VALLECAS
A taste of the moon,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/A-taste-of-the-moon/?vgnextfmt=default&vgnextoid=baceaa4735436910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,"CUENTACUENTOS, TÍTERES Y MARIONETAS",Jueves 8 de mayo de 2025,Biblioteca Pública Municipal Vicálvaro. VICALVARO
Cuentos de animalitos y animalotes,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Cuentos-de-animalitos-y-animalotes/?vgnextfmt=default&vgnextoid=14ed468e9b336910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,"CUENTACUENTOS, TÍTERES Y MARIONETAS",Jueves 8 de mayo de 2025,Biblioteca Pública Municipal Benito Pérez Galdós (Centro). CENTRO
Un día de la Prehistoria,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Un-dia-de-la-Prehistoria/?vgnextfmt=default&vgnextoid=964d826e66266910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,Sin tipo,Viernes 9 de mayo de 2025,Centro Sociocultural Tetuán. TETUAN
Teatro en familia,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Teatro-en-familia/?vgnextfmt=default&vgnextoid=42accbdaa1266910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,"CUENTACUENTOS, TÍTERES Y MARIONETAS, 
            
            ACTIVIDADES CALLE, ARTE URBANO, 
            
            DANZA Y BAILE, 
            
            ITINERARIOS Y OTRAS ACTIVIDADES AMBIENTALES, 
            
            ACTIVIDADES DEPORTIVAS, 
            
            CINE ACTIVIDADES AUDIOVISUALES, 
            
            CURSOS Y TALLERES, 
            
            MÚSICA, 
            
            TEATRO PERFOMANCE, 
            
            EXCURSIONES ITINERARIOS VISITAS, 
            
            EXPOSICIONES, 
            
            CONFERENCIAS Y COLOQUIOS, 
            
            CONGRESOS Y JORNADAS",Viernes 9 de mayo de 2025,Centro de Educación Ambiental y Cultural Maris Stella (Usera). USERA
"Oliverio Satisfecho, el mago",/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Oliverio-Satisfecho-el-mago/?vgnextfmt=default&vgnextoid=2118b89a0b766910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,CIRCO MAGIA,Viernes 9 de mayo de 2025,Centro Sociocultural Francisco Fatou (Villa de Vallecas). VILLA DE VALLECAS
¿Hay alguien más aburrido que yo?,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Hay-alguien-mas-aburrido-que-yo-/?vgnextfmt=default&vgnextoid=3495dd4357a16910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,"CUENTACUENTOS, TÍTERES Y MARIONETAS",Viernes 9 de mayo de 2025,Biblioteca Pública Municipal Pablo Neruda (Ciudad Lineal). CIUDAD LINEAL
A la mar salada,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/A-la-mar-salada/?vgnextfmt=default&vgnextoid=366f468e9b336910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,"CUENTACUENTOS, TÍTERES Y MARIONETAS",Viernes 9 de mayo de 2025,Biblioteca Pública Municipal Ciudad Lineal (Ciudad Lineal). CIUDAD LINEAL
Taller castizo,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Taller-castizo/?vgnextfmt=default&vgnextoid=1cfa4bcad6b76910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,"FIESTAS DE  SAN ISIDRO, 
            
            CURSOS Y TALLERES, 
            
            MADRID DESTINO",Viernes 9 de mayo de 2025,Centro Sociocultural Blasco Ibáñez (Carabanchel). CARABANCHEL
"Espectáculo infantil musical: ""AÚPA LERE, percusión para crecer""",/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Espectaculo-infantil-musical-AUPA-LERE-percusion-para-crecer-/?vgnextfmt=default&vgnextoid=68f42d8dae976910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,MÚSICA,Viernes 9 de mayo de 2025,Centro Sociocultural Valle Inclán (Fuencarral - El Pardo). FUENCARRAL-EL PARDO
Concierto pedagógico,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Concierto-pedagogico/?vgnextfmt=default&vgnextoid=4872047fc5065910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,MÚSICA,Viernes 9 de mayo de 2025,Centro Cultural Federico Chueca (Hortaleza). HORTALEZA
Manoviva - Girovago & Rondella (Italia),/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Manoviva-Girovago-Rondella-Italia-/?vgnextfmt=default&vgnextoid=5c60ab4f96f85910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,"CUENTACUENTOS, TÍTERES Y MARIONETAS, 
            
            MADRID DESTINO","Del sábado 10 de mayo de 2025
al domingo 11 de mayo de 2025",Teatro Municipal de Títeres. Parque de El Retiro. RETIRO
Asalto a la lectura. Animales grandes,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Asalto-a-la-lectura-Animales-grandes/?vgnextfmt=default&vgnextoid=820e5f0dcc336910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,"RECITALES, PRESENTACIONES Y ACTOS LITERARIOS, 
            
            CURSOS Y TALLERES",Sábado 10 de mayo de 2025,Centro Cultural Clara del Rey - Museo ABC (Centro). CENTRO
"Cuento: Maxi, el petirrojo sensible de la Dehesa de la Villa",/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Cuento-Maxi-el-petirrojo-sensible-de-la-Dehesa-de-la-Villa/?vgnextfmt=default&vgnextoid=7718a9e609756910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,"CUENTACUENTOS, TÍTERES Y MARIONETAS",Sábado 10 de mayo de 2025,Centro de Información y Educación Ambiental de Dehesa de la Villa. MONCLOA-ARAVACA
Érase casi una vez,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Erase-casi-una-vez/?vgnextfmt=default&vgnextoid=eaa003a1c2d56910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,TEATRO PERFOMANCE,Sábado 10 de mayo de 2025,Centro Cultural Orcasur (Usera). USERA
La edad de hielo,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/La-edad-de-hielo/?vgnextfmt=default&vgnextoid=486303a1c2d56910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,TEATRO PERFOMANCE,Sábado 10 de mayo de 2025,Centro Sociocultural San Fermín (Usera). USERA
Be Kind Remind: Taller infantil de creación audiovisual y archivo,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Be-Kind-Remind-Taller-infantil-de-creacion-audiovisual-y-archivo/?vgnextfmt=default&vgnextoid=fc307ad544266910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,"CURSOS Y TALLERES, 
            
            EXPOSICIONES","Del sábado 10 de mayo de 2025
al domingo 11 de mayo de 2025",Cineteca Madrid. ARGANZUELA
La Maga,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/La-Maga/?vgnextfmt=default&vgnextoid=b7d50865ba666910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,TEATRO PERFOMANCE,Sábado 10 de mayo de 2025,Centro Cultural Mercado de Ibiza (Retiro). RETIRO
El flautista de Hamelín,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/El-flautista-de-Hamelin/?vgnextfmt=default&vgnextoid=f8691dc120866910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,"ACTIVIDADES CALLE, ARTE URBANO",Sábado 10 de mayo de 2025,Parque de Amós Acero. PUENTE DE VALLECAS
The cook and the king,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/The-cook-and-the-king/?vgnextfmt=default&vgnextoid=5b9faa4735436910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,"CUENTACUENTOS, TÍTERES Y MARIONETAS",Sábado 10 de mayo de 2025,Biblioteca Pública Municipal Iván de Vargas (Centro). CENTRO
El baúl del Abuelo,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/El-baul-del-Abuelo/?vgnextfmt=default&vgnextoid=e72675ea42c76910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,Sin tipo,Sábado 10 de mayo de 2025,Centro Cultural El Plantío (Moncloa - Aravaca). MONCLOA-ARAVACA
"CICLO BEBÉS. Teatro Tyl Tyl, presenta “Tylito”",/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/CICLO-BEBES-Teatro-Tyl-Tyl-presenta-Tylito/?vgnextfmt=default&vgnextoid=d3ed2d8dae976910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,"CUENTACUENTOS, TÍTERES Y MARIONETAS, 
            
            TEATRO PERFOMANCE",Sábado 10 de mayo de 2025,Centro Cultural Príncipe de Asturias (Ciudad Lineal). CIUDAD LINEAL
"INFANTIL. Nando Caneca, presenta “UCO, un paisano diferente”",/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/INFANTIL-Nando-Caneca-presenta-UCO-un-paisano-diferente/?vgnextfmt=default&vgnextoid=10a9d5ca38086910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,TEATRO PERFOMANCE,Sábado 10 de mayo de 2025,Auditorio Carmen Laforet (Ciudad Lineal). CIUDAD LINEAL
Cuentacuentos - La Flor más Bonita del Mundo,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Cuentacuentos-La-Flor-mas-Bonita-del-Mundo/?vgnextfmt=default&vgnextoid=8a47525b65b76910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,"TEATRO PERFOMANCE, 
            
            EXPOSICIONES",Sábado 10 de mayo de 2025,Centro Cultural Galileo (Chamberí). CHAMBERI
Magia familiar: Magia de risa,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Magia-familiar-Magia-de-risa/?vgnextfmt=default&vgnextoid=efe465783d9d3910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,"CUENTACUENTOS, TÍTERES Y MARIONETAS, 
            
            CIRCO MAGIA",Sábado 10 de mayo de 2025,Centro Sociocultural Rafael de León (Fuencarral - El Pardo). FUENCARRAL-EL PARDO
Cuentacuentos en inglés:A world of magic,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Cuentacuentos-en-ingles-A-world-of-magic/?vgnextfmt=default&vgnextoid=a4ea9822df145910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,"CUENTACUENTOS, TÍTERES Y MARIONETAS",Sábado 10 de mayo de 2025,Centro Cultural Alfredo Kraus (Fuencarral - El Pardo). FUENCARRAL-EL PARDO
El Monstruo marino,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/El-Monstruo-marino/?vgnextfmt=default&vgnextoid=9ec11f8dd5186910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,Sin tipo,Sábado 10 de mayo de 2025,Centro Cultural el Torito (Moratalaz). MORATALAZ
"Concierto familiar: ""Loli Pop Rock""",/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Concierto-familiar-Loli-Pop-Rock-/?vgnextfmt=default&vgnextoid=94b890ec79b45910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,"DANZA Y BAILE, 
            
            MÚSICA",Sábado 10 de mayo de 2025,Centro Cultural La Vaguada (Fuencarral - El Pardo). FUENCARRAL-EL PARDO
Taller 'Insectos y otros pequeños habitantes de La Cabaña',/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Taller-Insectos-y-otros-pequenos-habitantes-de-La-Cabana-/?vgnextfmt=default&vgnextoid=d010df9f4b586910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,"ITINERARIOS Y OTRAS ACTIVIDADES AMBIENTALES, 
            
            CURSOS Y TALLERES",Sábado 10 de mayo de 2025,Aula ambiental La Cabaña del Retiro. RETIRO
Taller de teatro infantil,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Taller-de-teatro-infantil/?vgnextfmt=default&vgnextoid=eea4daef40686910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,"DANZA Y BAILE, 
            
            CURSOS Y TALLERES, 
            
            TEATRO PERFOMANCE","Del sábado 10 de mayo de 2025
al sábado 31 de mayo de 2025",Centro Cultural Carril del Conde (Hortaleza). HORTALEZA
Taller de magia infantil,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Taller-de-magia-infantil/?vgnextfmt=default&vgnextoid=e05e6a6496686910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,"CIRCO MAGIA, 
            
            CURSOS Y TALLERES, 
            
            TEATRO PERFOMANCE","Del sábado 10 de mayo de 2025
al sábado 31 de mayo de 2025",Centro Cultural Hortaleza. HORTALEZA
Mi mundo,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Mi-mundo/?vgnextfmt=default&vgnextoid=3a456a6496686910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,TEATRO PERFOMANCE,Sábado 10 de mayo de 2025,Parque Alfredo Kraus. HORTALEZA
"Triguiñuelas Folk, presenta “El pañuelo de la abuela”.",/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Triguinuelas-Folk-presenta-El-panuelo-de-la-abuela-/?vgnextfmt=default&vgnextoid=8df26a6496686910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,Sin tipo,Sábado 10 de mayo de 2025,Centro Cultural Valdebernardo (Vicálvaro). VICALVARO
Salvajes,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Salvajes/?vgnextfmt=default&vgnextoid=912adedac5936910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,CINE ACTIVIDADES AUDIOVISUALES,Domingo 11 de mayo de 2025,Centro Cultural Buero Vallejo (San Blas - Canillejas). SAN BLAS-CANILLEJAS
Aventuras de piratas,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Aventuras-de-piratas/?vgnextfmt=default&vgnextoid=3c9744afff756910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,"FIESTAS DE  SAN ISIDRO, 
            
            TEATRO PERFOMANCE, 
            
            MADRID DESTINO",Domingo 11 de mayo de 2025,Centro Cultural Ciudad Pegaso (San Blas - Canillejas). SAN BLAS-CANILLEJAS
Orcobblu,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Orcobblu/?vgnextfmt=default&vgnextoid=d6ac03a1c2d56910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,"CUENTACUENTOS, TÍTERES Y MARIONETAS",Domingo 11 de mayo de 2025,Centro Cultural Meseta de Orcasitas (Usera). USERA
Crea tus propios imanes para celebrar el Día Mundial de las aves Migratorias,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Crea-tus-propios-imanes-para-celebrar-el-Dia-Mundial-de-las-aves-Migratorias/?vgnextfmt=default&vgnextoid=2473cbdaa1266910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,CURSOS Y TALLERES,Domingo 11 de mayo de 2025,Centro de Educación Ambiental y Cultural Maris Stella (Usera). USERA
Leo y la música,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Leo-y-la-musica/?vgnextfmt=default&vgnextoid=84fb1dc120866910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,"CUENTACUENTOS, TÍTERES Y MARIONETAS, 
            
            MÚSICA",Domingo 11 de mayo de 2025,Centro Cultural El Pozo del tío Raimundo (Puente de Vallecas). PUENTE DE VALLECAS
Cuentos con amor por un mundo mejor,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Cuentos-con-amor-por-un-mundo-mejor/?vgnextfmt=default&vgnextoid=0d40468e9b336910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,"CUENTACUENTOS, TÍTERES Y MARIONETAS",Domingo 11 de mayo de 2025,Biblioteca Pública Municipal Ángel González (Latina). LATINA
El dragón Nabú,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/El-dragon-Nabu/?vgnextfmt=default&vgnextoid=dc9c2ce8b3086910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,Sin tipo,Domingo 11 de mayo de 2025,Auditorio Joaquín Rosado (Moncloa-Aravaca). MONCLOA-ARAVACA
Teatro Familiar - Texturas,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Teatro-Familiar-Texturas/?vgnextfmt=default&vgnextoid=8e29fa9f39b76910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,"TEATRO PERFOMANCE, 
            
            EXPOSICIONES",Domingo 11 de mayo de 2025,Centro Cultural Galileo (Chamberí). CHAMBERI
"Espectáculo con magia, malabares y clown: ""Emi Mc-Clown, el payaso más mago y el mago más payaso""",/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Espectaculo-con-magia-malabares-y-clown-Emi-Mc-Clown-el-payaso-mas-mago-y-el-mago-mas-payaso-/?vgnextfmt=default&vgnextoid=ec7e3af1ecc66910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,CIRCO MAGIA,Domingo 11 de mayo de 2025,Centro Sociocultural Alfonso XII (Fuencarral - El Pardo). FUENCARRAL-EL PARDO
Talleres Infantiles,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Talleres-Infantiles/?vgnextfmt=default&vgnextoid=7ad352544dd2f810VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,"ITINERARIOS Y OTRAS ACTIVIDADES AMBIENTALES, 
            
            CURSOS Y TALLERES","Del domingo 11 de mayo de 2025
al domingo 18 de mayo de 2025",Centro de Interpretación de la Naturaleza Montecarmelo (Fuencarral - El Pardo). FUENCARRAL-EL PARDO
La troupe del circo,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/La-troupe-del-circo/?vgnextfmt=default&vgnextoid=b09d02ca7c186910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,"ACTIVIDADES CALLE, ARTE URBANO",Domingo 11 de mayo de 2025,Sin lugar
Mestre Fufo,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Mestre-Fufo/?vgnextfmt=default&vgnextoid=ced9d865b7c66910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,"CIRCO MAGIA, 
            
            TEATRO PERFOMANCE",Domingo 11 de mayo de 2025,Centro Cultural Fernando Lázaro Carreter (Carabanchel). CARABANCHEL
Juego de pistas 'Los animales del bosque',/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Juego-de-pistas-Los-animales-del-bosque-/?vgnextfmt=default&vgnextoid=ef9951d1bf586910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,"ITINERARIOS Y OTRAS ACTIVIDADES AMBIENTALES, 
            
            EXCURSIONES ITINERARIOS VISITAS",Domingo 11 de mayo de 2025,Aula ambiental La Cabaña del Retiro. RETIRO
El dragón Nabú,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/El-dragon-Nabu/?vgnextfmt=default&vgnextoid=3de1234abc586910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,"CUENTACUENTOS, TÍTERES Y MARIONETAS",Domingo 11 de mayo de 2025,Centro Cultural Carril del Conde (Hortaleza). HORTALEZA
Desmontando la zarzuela,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Desmontando-la-zarzuela/?vgnextfmt=default&vgnextoid=c2a094b983686910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,TEATRO PERFOMANCE,Domingo 11 de mayo de 2025,Centro Cultural Hortaleza. HORTALEZA
Las aventuras de las niñas perdidas,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Las-aventuras-de-las-ninas-perdidas/?vgnextfmt=default&vgnextoid=58d66a6496686910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,TEATRO PERFOMANCE,Domingo 11 de mayo de 2025,Parque Forestal de Valdebebas-Felipe VI. HORTALEZA
Rutas guiadas por el Parque Forestal de Valdebebas. Mayo 2025,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Rutas-guiadas-por-el-Parque-Forestal-de-Valdebebas-Mayo-2025/?vgnextfmt=default&vgnextoid=1da91364a9686910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,"ITINERARIOS Y OTRAS ACTIVIDADES AMBIENTALES, 
            
            CURSOS Y TALLERES",Domingo 11 de mayo de 2025,Parque Forestal de Valdebebas-Felipe VI. HORTALEZA
Five little goats,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Five-little-goats/?vgnextfmt=default&vgnextoid=5ad0aa4735436910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,"CUENTACUENTOS, TÍTERES Y MARIONETAS",Lunes 12 de mayo de 2025,Biblioteca Pública Municipal Mario Vargas Llosa (Centro). CENTRO
Llega San Isidro con cuentos y manualidades,/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Llega-San-Isidro-con-cuentos-y-manualidades/?vgnextfmt=default&vgnextoid=a11dced21c666910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,CURSOS Y TALLERES,Martes 13 de mayo de 2025,Biblioteca Pública Municipal Canillejas (San Blas-Canillejas). SAN BLAS-CANILLEJAS
'Animalitis',/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/-Animalitis-/?vgnextfmt=default&vgnextoid=b15644afff756910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,"CUENTACUENTOS, TÍTERES Y MARIONETAS",Martes 13 de mayo de 2025,Biblioteca Pública Municipal María Zambrano (Tetuán). TETUAN
