título,descripción,edad,inscripción,periodicidad,día_días,horario,fecha,lugar_nombre,lugar_dirección,precio,recomendación,url_ampliar_info,url_imagen,url_actividad
Ludoteca en Centro Cultural Fernando de los Ríos,Viernes de 17:30 a 20:30 horas y sábados de 10:00 a 13:30 horas. No festivos.,de 5 a 12 años,Más información sobre inscripciones y actividades en Centro Cultural Fernando de los Ríos.,No especificada,"viernes, sábado",de 17:30 a 20:30 horas,Del viernes 4 de octubre de 2024 al sábado 28 de junio de 2025,Centro Cultural Fernando de los Ríos (Latina),"CALLE CAMARENA, 10 MADRID",Gratuito,Recomendado para niñas y niños,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Ludotecas-en-Centros-Culturales-distrito-de-Latina/?vgnextfmt=default&vgnextoid=924b00e8cdd9e810VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,No disponible,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Ludoteca-en-Centro-Cultural-Fernando-de-los-Rios/?vgnextfmt=default&vgnextoid=c62cdfaf0ae9e810VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Ludoteca en Centro Cultural Sara Montiel,Viernes de 17:30 a 20:30 horas y sábados de 10:00 a 13:30 horas. No festivos.,de 5 a 12 años,Para más información sobre inscripciones y actividades consultar en Centro Cultural Sara Montiel.,No especificada,"viernes, sábado",de 17:30 a 20:30 horas,Del viernes 4 de octubre de 2024 al sábado 28 de junio de 2025,Centro Cultural Sara Montiel (Latina),"CARRETERA BOADILLA DEL MONTE, 40 MADRID",Gratuito,Recomendado para niñas y niños,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Ludotecas-en-Centros-Culturales-distrito-de-Latina/?vgnextfmt=default&vgnextoid=924b00e8cdd9e810VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,No disponible,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Ludoteca-en-Centro-Cultural-Sara-Montiel/?vgnextfmt=default&vgnextoid=4f9000e8cdd9e810VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Ludoteca en Centro Cultural  Miguel Hernández,Viernes de 17:30 a 20:30 horas y sábados de 10:00 a 13:30 horas. No festivos.,de 5 a 12 años,No especificada,No especificada,"viernes, sábado",de 17:30 a 20:30 horas,Del viernes 4 de octubre de 2024 al sábado 28 de junio de 2025,Centro Cultural Miguel Hernández (Latina),"CALLE SERRADILLA, 13 MADRID",Gratuito,Recomendado para niñas y niños,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Ludotecas-en-Centros-Culturales-distrito-de-Latina/?vgnextfmt=default&vgnextoid=924b00e8cdd9e810VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,No disponible,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Ludoteca-en-Centro-Cultural-Miguel-Hernandez/?vgnextfmt=default&vgnextoid=424529ae67e9e810VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Ludoteca en Centro Sociocultural Rosario Acuña,"Sábados, no festivos,  de 10:00 horas a 13:30 horas.",de 5 a 12 años,Para más información sobre inscripciones y actividades consultar en Centro Sociocultural Rosario Acuña.,No especificada,sábado,de 10:00 horas a 13:30 horas,Del sábado 5 de octubre de 2024 al sábado 28 de junio de 2025,Centro Sociocultural Rosario de Acuña (Latina),"CALLE MARIA DEL CARMEN, 65 MADRID",Gratuito,Recomendado para niñas y niños,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Ludotecas-en-Centros-Culturales-distrito-de-Latina/?vgnextfmt=default&vgnextoid=924b00e8cdd9e810VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,No disponible,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Ludoteca-en-Centro-Sociocultural-Rosario-Acuna/?vgnextfmt=default&vgnextoid=109ddfaf0ae9e810VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Ludotecas en Centro Sociocultural Latina,"Sábados, no festivos,  de 10:00 horas a 13:30 horas.",de 5 a 12 años,Para más información sobre inscripciones y actividades consultar en Centro Sociocultural Latina.,No especificada,sábado,de 10:00 horas a 13:30 horas,Del sábado 5 de octubre de 2024 al sábado 28 de junio de 2025,Sin lugar,Sin dirección,Gratuito,Recomendado para niñas y niños,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Ludotecas-en-Centros-Culturales-distrito-de-Latina/?vgnextfmt=default&vgnextoid=924b00e8cdd9e810VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,No disponible,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Ludotecas-en-Centro-Sociocultural-Latina/?vgnextfmt=default&vgnextoid=59c61197cb41f810VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Taller de cómic (juvenil) Biblioteca Iván de Vargas,"Son talleres de creación dirigidos a dar a conocer la historia y la fase creativa de la ilustración de la novela gráfica, a través de sus diversas escuelas.",de 12 a 17 años,Para participar es necesario realizar inscripción previa a través de este enlace.,quincenal,sábado,de 12 a 13:30 horas,Del sábado 5 de octubre de 2024 al sábado 7 de junio de 2025,Biblioteca Pública Municipal Iván de Vargas (Centro),"CALLE SAN JUSTO, 5 MADRID",Gratuito,Recomendado para niñas y niños,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Taller-de-comic-juvenil-/?vgnextfmt=default&vgnextoid=21894861ee4e6810VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,https://www.madrid.es/UnidadesDescentralizadas/Bibliotecas/BibliotecasPublicas/ActividadesBPM/Actividades%20Adultos/Talleres/ficheros/TallerComicJuvenil_260.jpg,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Taller-de-comic-juvenil-Biblioteca-Ivan-de-Vargas/?vgnextfmt=default&vgnextoid=fb9a63238a0b3910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Taller de juegos (infantil) Biblioteca Gabriel Gª Márquez,Reuniones periódicas en las que se descubrirán diferentes juegos.,de 6 a 10 años,Para participar es impresindible realizar inscripción previa en este enlace.,mensual,jueves,de 18 a 19:30 horas,Del jueves 17 de octubre de 2024 al jueves 29 de mayo de 2025,Biblioteca Pública Municipal Gabriel García Márquez (Usera),"PLAZA PUEBLO, 2 MADRID",Gratuito,Recomendado para niñas y niños,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Taller-de-juegos-infantil-/?vgnextfmt=default&vgnextoid=bb4a80ff165e6810VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,https://www.madrid.es/UnidadesDescentralizadas/Bibliotecas/BibliotecasPublicas/ActividadesBPM/Actividades%20Infantiles%20Juveniles/Talleres/Talleres%20Infantiles/ficheros/260x260%20Tarde%20de%20Juegos.jpg,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Taller-de-juegos-infantil-Biblioteca-Gabriel-G-Marquez/?vgnextfmt=default&vgnextoid=3a1f32fa46a61910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Club de lectura (infantil) Biblioteca María Lejárraga,"Una de nuestras actividades favoritas, dónde la lectura es la protagonista. En estos clubes de lectura un grupo de niñas y niños, leen al mismo tiempo un libro y periódicamente se reúnen para comentarlo y hacer un montón de actividades que hacen la lectura aún más divertida, combinando la lectura personal y la posibilidad de compartir la experiencia con otras personas, sin duda una fantástica manera para que los más pequeños de la casa adquirieran el hábito lector.",de 9 a 12 años,Para participar es impresindible realizar inscripción previa en este enlace.,quincenal,jueves,de 18 a 19:30 horas,Del jueves 24 de octubre de 2024 al jueves 19 de junio de 2025,Biblioteca Pública Municipal María Lejárraga (Hortaleza),"CALLE PRINCESA DE EBOLI, 29 MADRID",Gratuito,Recomendado para niñas y niños,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Club-de-lectura-infantil-/?vgnextfmt=default&vgnextoid=e1d24ef767ae6810VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,https://www.madrid.es/UnidadesDescentralizadas/Bibliotecas/BibliotecasPublicas/ActividadesBPM/TalleresAnuales/Talleres2021/Adultos/ficheros/ClubLecturaInf_260x260.jpg,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Club-de-lectura-infantil-Biblioteca-Maria-Lejarraga/?vgnextfmt=default&vgnextoid=03cbf9ea99e61910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Coder Dojo · Grupo de trabajo 2024-2025,"Coder Dojo es una iniciativa mundial que anima a los niños, niñas y adolescentes de entre 7 y 17 años a trabajar con herramientas tecnológicas mientras aprenden habilidades como el trabajo en equipo, la comunicación y la acción.Ven a programar videojuegos, a diseñar páginas en Internet, a crear aplicaciones para dispositivos móviles, a dibujar y a imprimir modelos en 3D. También podrás crear música interactiva, construir robots y mucho más.Si además nos quieres ayudar como mentor/a voluntario/a eres bienvenido/a y podrás compartir en el club todos tus conocimientos y experiencias.",entre 7 y 17 años,"Las plazas se asignarán por orden de inscripción.. ¿Cómo apuntarte?Para apuntarte, puedes acceder a codeclub.org y dejar tus datos. Las plazas se asignarán por orden de inscripción. El correo electrónico y teléfono de contacto será el de la madre/el padre en caso de los menores de 12 años.",No especificada,sábado,de 16:00 a 18:00 horas,Del sábado 16 de noviembre de 2024 al sábado 26 de julio de 2025,Matadero Medialab,"PASEO CHOPERA, 14 28045 MADRID",No especificado,Recomendado para niñas y niños,No disponible,https://www.madrid.es/UnidadWeb/UGBBDD/MadridDestino/ficheros/MADRID_DESTINO_104834_es.jpeg,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Coder-Dojo-Grupo-de-trabajo-2024-2025/?vgnextfmt=default&vgnextoid=8c98b60f928d2910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Taller de cómic (Infantil) Biblioteca José Hierro,"Son talleres de creación dirigidos a dar a conocer la historia y la fase creativa de la ilustración de la novela gráfica, a través de sus diversas escuelas.",entre 10 y 14 años,Para participar es necesario realizar inscripción previa a través de este enlace.,quincenal,lunes,de 18 a 19:30 horas,Del lunes 25 de noviembre de 2024 al lunes 19 de mayo de 2025,Biblioteca Pública Municipal José Hierro (San Blas-Canillejas),"CALLE MARIA SEVILLA DIAGO, 15 MADRID",Gratuito,Recomendado para niñas y niños,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Taller-de-comic-infantil-/?vgnextfmt=default&vgnextoid=5e7a4861ee4e6810VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,https://www.madrid.es/UnidadesDescentralizadas/Bibliotecas/BibliotecasPublicas/ActividadesBPM/Actividades_Infantiles_Juveniles/Talleres/ficheros/taller_c%C3%B3mic_260.jpg,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Taller-de-comic-Infantil-Biblioteca-Jose-Hierro/?vgnextfmt=default&vgnextoid=fcd9ecedfd123910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Clases de árabe para niños,Taller infantil para niños a partir de 9 años.,a partir de 9 años,El proceso de inscripción ha finalizado. Inscríbete en este enlace.,No especificada,viernes,de 18:00 a 19:30 horas,Del viernes 13 de diciembre de 2024 al viernes 30 de mayo de 2025,Biblioteca Pública Municipal San Fermín (Usera),"AVENIDA SAN FERMIN, 10 28041 MADRID",Gratuito,Recomendado para niñas y niños,No disponible,https://www.madrid.es/UnidadesDescentralizadas/Bibliotecas/BibliotecasPublicas/Actividades/Actividades_Infantiles_Juveniles/Talleres/ficheros/Clases%20de%20arabe.png,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Clases-de-arabe-para-ninos/?vgnextfmt=default&vgnextoid=60ceedb3e8133910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Taller de cómic (Infantil) Biblioteca María Zambrano,"Son talleres de creación dirigidos a dar a conocer la historia y la fase creativa de la ilustración de la novela gráfica, a través de sus diversas escuelas.",entre 8 y 11 años,Para participar es necesario realizar inscripción previa a través de este enlace.,quincenal,lunes,de 17:30 a 19 horas,Del miércoles 8 de enero de 2025 al miércoles 4 de junio de 2025,Biblioteca Pública Municipal María Zambrano (Tetuán),"PLAZA DONOSO, 5 MADRID",Gratuito,Recomendado para niñas y niños,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Taller-de-comic-infantil-/?vgnextfmt=default&vgnextoid=5e7a4861ee4e6810VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,https://www.madrid.es/UnidadesDescentralizadas/Bibliotecas/BibliotecasPublicas/ActividadesBPM/ActividadesVirtuales/Talleres_infantiles/TallerComic/ficheros/TallerComic_260x260.jpg,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Taller-de-comic-Infantil-Biblioteca-Maria-Zambrano/?vgnextfmt=default&vgnextoid=5c9ec45e58724910VgnVCM2000001f4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
Taller de cómic (Infantil) Biblioteca Miguel Delibes,"Son talleres de creación dirigidos a dar a conocer la historia y la fase creativa de la ilustración de la novela gráfica, a través de sus diversas escuelas.",entre 8 y 11 años,Para participar es necesario realizar inscripción previa a través de este enlace.,quincenal,miércoles,de 18 a 19:30 horas,Del miércoles 15 de enero de 2025 al miércoles 21 de mayo de 2025,Biblioteca Pública Municipal Miguel Delibes (Moratalaz),"CALLE ARROYO BELINCOSO, 11 MADRID",Gratuito,Recomendado para niñas y niños,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Taller-de-comic-infantil-/?vgnextfmt=default&vgnextoid=5e7a4861ee4e6810VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD,https://www.madrid.es/UnidadesDescentralizadas/Bibliotecas/BibliotecasPublicas/ActividadesBPM/ActividadesVirtuales/Talleres_infantiles/TallerComic/ficheros/TallerComic_260x260.jpg,https://www.madrid.es/portales/munimadrid/es/Inicio/Cultura-ocio-y-deporte/Taller-de-comic-Infantil-Biblioteca-Miguel-Delibes/?vgnextfmt=default&vgnextoid=ad3087ffb3f64910VgnVCM1000001d4a900aRCRD&vgnextchannel=7911f073808fe410VgnVCM2000000c205a0aRCRD
